Image_Width,Image_Height, canny_time,vertical_time,horizontal_time,mean_time,Canny_flops,Canny_bytes,vertical_flops,vertical_bytes ,horizontal_flops,horizontal_bytes,mean_flops,mean_bytes,d2h_size_MB,d2h_time,h2d_size_mb,h2d_time
256,256,2.174272,2.022464,1.79712,0.078528,32374784,786432,131072,262656,8.794773692,21.93809138,4718592,1638400,1,0.198464,0.25,0.937696
256,256,2.400544,2.015072,1.782624,0.078176,32374784,786432,131072,262656,9.674537998,24.150164,4718592,1638400,1,0.192928,0.25,0.9144
256,256,2.392832,1.999232,1.79456,0.077664,32374784,786432,131072,262656,9.56765261,23.92096922,4718592,1638400,1,0.199648,0.25,1.004224
256,256,2.372736,2.031296,1.792352,0.0776,32374784,786432,131072,262656,9.639458292,24.02438858,4718592,1638400,1,0.20272,0.25,1.932864
256,256,2.187904,2.022336,1.79376,0.076224,32374784,786432,131072,262656,8.849354047,22.07451609,4718592,1638400,1,0.193952,0.25,0.910016
256,256,2.387104,2.01968,1.798272,0.077088,32374784,786432,131072,262656,9.642372413,24.05895283,4718592,1638400,1,0.201632,0.25,0.970176
256,256,2.284864,2.029024,1.7992,0.075872,32374784,786432,131072,262656,9.272087785,23.11390357,4718592,1638400,1,0.201344,0.25,0.932384
256,256,2.175328,2.01968,1.785792,0.077856,32374784,786432,131072,262656,8.78693291,21.92452182,4718592,1638400,1,0.20704,0.25,0.973792
256,256,2.251072,2.009952,1.794272,0.07808,32374784,786432,131072,262656,9.049093337,22.60033067,4718592,1638400,1,0.199008,0.25,0.992352
256,256,2.377696,2.005824,1.785536,0.078432,32374784,786432,131072,262656,9.538479403,23.83235081,4718592,1638400,1,0.212352,0.25,0.993056
256,256,2.383456,2.00896,1.79888,0.078176,32374784,786432,131072,262656,9.576535532,23.91998306,4718592,1638400,1,0.203328,0.25,1.124032
256,256,2.369344,2.000096,1.794176,0.078144,32374784,786432,131072,262656,9.477830914,23.69434983,4718592,1638400,1,0.209184,0.25,0.981664
256,256,2.190144,2.02288,1.789792,0.076992,32374784,786432,131072,262656,8.860796989,22.10188198,4718592,1638400,1,0.202176,0.25,0.979456
256,256,2.116992,2.017248,1.791712,0.078176,32374784,786432,131072,262656,8.540995756,21.31597551,4718592,1638400,1,0.199776,0.25,0.917792
256,256,2.155328,2.012672,1.788544,0.076416,32374784,786432,131072,262656,8.675936633,21.66252927,4718592,1638400,1,0.213184,0.25,0.961792
256,256,2.37664,2.011296,1.799776,0.077824,32374784,786432,131072,262656,9.560253051,23.8737861,4718592,1638400,1,0.201504,0.25,0.940416
256,256,2.1992,2.015552,1.788352,0.076864,32374784,786432,131072,262656,8.865203917,22.12880783,4718592,1638400,1,0.201248,0.25,0.9608
256,256,2.14752,2.012352,1.800544,0.07824,32374784,786432,131072,262656,8.643132334,21.58130467,4718592,1638400,1,0.201856,0.25,0.952288
256,256,2.373184,2.012448,1.785536,0.077248,32374784,786432,131072,262656,9.551818789,23.85000558,4718592,1638400,1,0.199392,0.25,0.944352
256,256,2.2112,2.009152,1.797632,0.077664,32374784,786432,131072,262656,8.885273805,22.19294761,4718592,1638400,1,0.204064,0.25,0.957376
256,256,2.39936,2.034208,1.78656,0.0768,32374784,786432,131072,262656,9.761594614,24.32190923,4718592,1638400,1,0.200448,0.25,0.961376
256,256,2.414592,2.03104,1.783776,0.078048,32374784,786432,131072,262656,9.808265871,24.44571574,4718592,1638400,1,0.202144,0.25,0.980384
256,256,2.252288,2.008608,1.79424,0.078112,32374784,786432,131072,262656,9.04792739,22.60043078,4718592,1638400,1,0.205888,0.25,0.964544
256,256,2.3864,2.016672,1.794752,0.077248,32374784,786432,131072,262656,9.625172122,24.02314424,4718592,1638400,1,0.21088,0.25,0.961408
256,256,2.368128,2.011232,1.797824,0.077888,32374784,786432,131072,262656,9.525709627,23.78767525,4718592,1638400,1,0.192608,0.25,0.948416
256,256,2.16464,2.012064,1.794624,0.077376,32374784,786432,131072,262656,8.710788434,21.75085687,4718592,1638400,1,0.19712,0.25,0.948448
256,256,2.180288,2.014304,1.78848,0.077504,32374784,786432,131072,262656,8.783525679,21.92762736,4718592,1638400,1,0.207776,0.25,1.00096
256,256,2.378976,2.01776,1.792448,0.0776,32374784,786432,131072,262656,9.600405228,23.95876246,4718592,1638400,1,0.209952,0.25,3.420896
256,256,2.35456,2.030816,1.800384,0.077376,32374784,786432,131072,262656,9.563356242,23.83583248,4718592,1638400,1,0.200224,0.25,0.95616
256,256,2.386208,2.009792,1.799392,0.07712,32374784,786432,131072,262656,9.591563497,23.95554299,4718592,1638400,1,0.203008,0.25,0.959072
256,256,2.193536,2.014976,1.799648,0.076512,32374784,786432,131072,262656,8.83984479,22.06676158,4718592,1638400,1,0.20464,0.25,0.969184
512,512,4.846016,3.955712,3.85296,0.263392,129499136,3145728,524288,1049600,38.33888729,86.36980657,18874368,6553600,4,0.676608,1,2.83456
512,512,5.405024,3.975584,3.837408,0.26432,129499136,3145728,524288,1049600,42.97625387,96.76255574,18874368,6553600,4,0.67584,1,2.797888
512,512,4.894656,3.995008,3.839008,0.264064,129499136,3145728,524288,1049600,39.10837975,88.00607151,18874368,6553600,4,0.68304,1,2.823392
